,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
283,210,Gordon Hayward,SF,33,CHO,25,798,14.2,.544,.205,.273,3.4,13.6,8.3,22.2,1.7,1.4,13.3,21.2,0.2,0.5,0.7,.041,-1.2,-0.6,-1.8,0.0,2024
284,210,Gordon Hayward,SF,33,OKC,22,367,9.0,.503,.294,.306,3.6,12.8,8.4,12.5,1.1,0.3,8.5,12.5,0.2,0.3,0.5,.068,-2.7,-0.5,-3.3,-0.1,2024
285,211,Scoot Henderson,PG,19,POR,57,1585,9.1,.485,.327,.262,3.3,10.1,6.5,28.2,1.3,0.7,19.0,26.4,-2.6,0.9,-1.7,-0.053,-3.9,-2.4,-6.3,-1.7,2024
286,212,Taylor Hendricks,PF,20,UTA,34,713,11.2,.564,.589,.121,6.4,18.6,12.5,4.1,1.4,3.3,9.5,14.2,0.4,0.5,0.9,.061,-1.8,-0.7,-2.5,-0.1,2024
287,213,Tyler Herro,SG,24,MIA,36,1209,15.5,.549,.452,.122,1.7,17.1,9.3,22.1,1.2,0.2,10.1,28.1,0.0,1.4,1.4,.055,1.5,-0.7,0.8,0.8,2024
288,214,Buddy Hield,SF-SG,31,TOT,79,2053,13.2,.580,.667,.065,3.1,11.1,7.0,14.7,1.6,1.6,10.6,19.0,1.7,1.4,3.1,.074,0.9,-0.6,0.3,1.2,2024
289,214,Buddy Hield,SF,31,IND,52,1336,13.1,.586,.691,.064,2.9,11.6,7.3,13.0,1.5,1.8,10.4,18.7,1.1,0.8,1.9,.068,0.9,-0.8,0.1,0.7,2024
290,214,Buddy Hield,SG,31,PHI,27,717,13.4,.568,.624,.067,3.3,10.0,6.6,17.8,1.6,1.3,10.8,19.7,0.6,0.6,1.2,.083,0.9,-0.2,0.7,0.5,2024
291,215,Haywood Highsmith,PF,27,MIA,60,1209,11.5,.591,.580,.110,5.3,12.4,8.7,7.1,2.1,2.2,8.7,12.8,1.0,1.7,2.7,.108,-1.6,1.2,-0.4,0.5,2024
292,216,Nate Hinton,SG,24,HOU,11,58,19.2,.698,.550,.250,5.6,17.1,11.3,15.0,1.7,3.2,8.3,17.8,0.2,0.1,0.3,.227,3.5,2.0,5.6,0.1,2024
293,217,D'Moi Hodge,SG,25,LAL,7,41,6.1,.441,.800,.133,0.0,0.0,0.0,15.7,1.2,2.1,5.9,17.9,0.0,0.0,0.0,-0.022,-3.8,-2.6,-6.4,0.0,2024
294,218,Aaron Holiday,PG,27,HOU,73,1192,11.6,.579,.525,.152,1.9,8.9,5.4,15.7,1.6,0.5,10.6,16.5,1.2,1.2,2.4,.097,-1.7,0.4,-1.2,0.2,2024
295,219,Jrue Holiday,PG,33,BOS,65,2151,14.4,.598,.470,.110,4.2,13.5,9.0,19.4,1.4,2.0,14.8,16.3,3.0,3.0,6.0,.135,1.0,1.2,2.2,2.3,2024
296,220,Justin Holiday,SG,34,DEN,53,777,9.4,.589,.682,.023,1.4,8.7,5.1,8.9,2.1,1.0,6.4,10.6,0.7,0.8,1.5,.093,-2.8,1.0,-1.8,0.0,2024
297,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,2024
298,221,Richaun Holmes,C-PF,30,TOT,40,555,14.5,.593,.020,.320,14.2,22.7,18.4,6.0,0.9,2.9,12.5,14.7,0.8,0.5,1.3,.111,-2.4,-0.9,-3.3,-0.2,2024
299,221,Richaun Holmes,C,30,DAL,23,237,13.9,.572,.000,.356,15.8,21.2,18.5,8.3,0.6,3.3,15.0,14.6,0.3,0.3,0.6,.116,-2.4,-0.6,-3.0,-0.1,2024
300,221,Richaun Holmes,PF,30,WAS,17,318,14.9,.608,.034,.295,13.1,23.7,18.3,4.3,1.2,2.6,10.8,14.8,0.5,0.3,0.7,.108,-2.5,-1.1,-3.6,-0.1,2024
301,222,Chet Holmgren,C,21,OKC,76,2268,20.3,.631,.365,.278,6.3,23.6,15.3,11.8,1.0,7.3,10.9,21.6,4.1,3.9,8.0,.169,1.8,1.5,3.3,3.0,2024
302,223,Jalen Hood-Schifino,SG,20,LAL,21,109,-1.4,.316,.333,.444,2.2,11.1,6.9,9.1,1.3,1.6,14.3,25.0,-0.6,0.1,-0.5,-0.226,-12.4,-3.7,-16.1,-0.4,2024
303,224,Al Horford,C,37,BOS,62,1683,15.0,.651,.610,.069,5.5,19.8,13.0,12.4,1.1,3.1,10.0,11.9,3.4,2.7,6.1,.173,1.7,2.0,3.7,2.4,2024
304,225,Talen Horton-Tucker,PG,23,UTA,47,892,13.6,.502,.392,.238,2.6,11.2,6.9,26.7,2.3,1.6,11.3,23.6,0.3,0.5,0.8,.044,-0.8,-0.2,-0.9,0.2,2024
305,226,Danuel House Jr.,SF,30,PHI,34,509,8.5,.575,.476,.438,3.5,9.6,6.5,7.2,1.5,0.9,13.2,12.3,0.3,0.4,0.7,.061,-3.4,-0.6,-4.0,-0.3,2024
306,227,Caleb Houstan,SF,21,ORL,56,791,8.3,.589,.935,.120,4.2,8.1,6.1,4.8,0.8,0.4,7.1,12.5,0.7,0.8,1.5,.092,-1.3,-0.6,-1.9,0.0,2024
307,228,Jett Howard,SF,20,ORL,14,52,6.7,.464,.783,.174,2.3,9.2,5.7,8.4,0.0,1.8,7.5,22.5,-0.1,0.0,0.0,-0.016,-2.2,-2.5,-4.6,0.0,2024
308,229,Kevin Huerter,SG,25,SAC,64,1562,12.4,.564,.609,.084,2.7,14.1,8.3,14.3,1.4,1.3,8.4,17.4,1.4,1.4,2.8,.085,-0.5,-0.4,-0.9,0.4,2024
309,230,Jay Huff,C,25,DEN,17,44,14.0,.684,.692,.154,2.8,23.8,13.5,6.0,1.1,1.9,6.7,14.9,0.1,0.1,0.1,.160,-1.3,0.1,-1.2,0.0,2024
310,231,De'Andre Hunter,SF,26,ATL,53,1553,13.0,.603,.460,.292,2.0,13.4,7.5,7.2,1.2,0.9,10.2,20.6,1.6,0.6,2.2,.067,-0.8,-1.4,-2.2,-0.1,2024
311,232,Matthew Hurt,PF,23,MEM,8,113,8.4,.453,.588,.088,8.7,7.3,8.0,5.2,1.3,2.5,5.4,14.2,0.0,0.1,0.1,.029,-3.1,-0.7,-3.8,-0.1,2024
312,233,Bones Hyland,PG,23,LAC,33,443,8.4,.470,.550,.094,1.1,8.3,4.8,22.5,2.3,0.6,16.4,23.7,-0.7,0.3,-0.3,-0.037,-4.2,-1.5,-5.7,-0.4,2024
313,234,Joe Ingles,SF,36,ORL,62,1063,10.6,.600,.706,.142,2.0,12.5,7.2,22.9,1.9,0.3,20.3,11.6,1.0,1.5,2.5,.112,-1.8,1.4,-0.4,0.4,2024
